dataset,replicate,method,iteration,runtime
ROSE-1000L1,R5,magus_clustalo-iter3,3,969.3600
ROSE-1000L1,R5,magus_clustalo-iter4,4,1238.8900
ROSE-1000L1,R5,magus_default-iter0,0,404.3000
ROSE-1000L1,R5,magus_default-iter1,1,1194.4200
ROSE-1000L1,R5,magus_magus-iter0,0,889.1700
ROSE-1000L1,R5,magus_magus-iter1,1,1035.2000
ROSE-1000L1,R5,magus_magus-iter2,2,1195.1200
ROSE-1000L1,R5,magus_magus-iter3,3,1377.2200
ROSE-1000L1,R5,magus_magus-iter4,4,1494.2000
ROSE-1000L1,R5,muscle,-1,1893.9000
ROSE-1000L1,R5,pasta-iter3,3,1310.9300
ROSE-1000L1,R6,clustalo,-1,701.5000
ROSE-1000L1,R6,mafft,-1,16.3200
ROSE-1000L1,R6,magus_clustalo-iter0,0,22.5200
ROSE-1000L1,R6,magus_clustalo-iter1,1,601.1200
ROSE-1000L1,R6,magus_clustalo-iter2,2,1162.1800
ROSE-1000L1,R6,magus_clustalo-iter3,3,1697.9100
ROSE-1000L1,R6,magus_clustalo-iter4,4,2235.9400
ROSE-1000L1,R6,magus_default-iter0,0,662.0400
ROSE-1000L1,R6,magus_default-iter1,1,1138.1400
ROSE-1000L1,R6,magus_magus-iter0,0,584.0800
ROSE-1000L1,R6,magus_magus-iter1,1,757.8300
